time	V(v0)	V(n001)
7.523118225989514e-02	-3.613529e+00	-3.618646e-01
7.542649475989514e-02	-3.613379e+00	-6.619471e-01
7.562180725989515e-02	-3.613229e+00	-9.520733e-01
7.581711975989515e-02	-3.613079e+00	-1.227879e+00
7.601243225989515e-02	-3.612928e+00	-1.485217e+00
7.620774475989515e-02	-3.612778e+00	-1.720216e+00
7.640305725989516e-02	-3.612628e+00	-1.929341e+00
7.659836975989516e-02	-3.612478e+00	-2.109447e+00
7.679368225989516e-02	-3.612329e+00	-2.257824e+00
7.698899475989517e-02	-3.612307e+00	-2.372242e+00
7.718430725989517e-02	-3.614509e+00	-2.450980e+00
7.737961975989517e-02	-3.622570e+00	-2.492852e+00
7.757493225989517e-02	-3.631846e+00	-2.497230e+00
7.777024475989518e-02	-3.635832e+00	-2.464046e+00
7.796555725989518e-02	-3.636421e+00	-2.393802e+00
7.816086975989518e-02	-3.636315e+00	-2.287552e+00
7.835618225989519e-02	-3.636164e+00	-2.146895e+00
7.855149475989519e-02	-3.636013e+00	-1.973948e+00
7.874680725989519e-02	-3.635862e+00	-1.771310e+00
7.894211975989519e-02	-3.635711e+00	-1.542030e+00
7.913743225989520e-02	-3.635560e+00	-1.289556e+00
7.933274475989520e-02	-3.635409e+00	-1.017686e+00
7.952805725989520e-02	-3.635258e+00	-7.305094e-01
7.972336975989520e-02	-3.635107e+00	-4.323452e-01
7.991868225989521e-02	-3.634956e+00	-1.276780e-01
8.011399475989521e-02	-3.634805e+00	1.789095e-01
8.030930725989521e-02	-3.634654e+00	4.828061e-01
8.050461975989522e-02	-3.634503e+00	7.794408e-01
8.069993225989522e-02	-3.634351e+00	1.064352e+00
8.089524475989522e-02	-3.634201e+00	1.333254e+00
8.109055725989522e-02	-3.634049e+00	1.582103e+00
8.128586975989523e-02	-3.633898e+00	1.807156e+00
8.148118225989523e-02	-3.633747e+00	2.005027e+00
8.167649475989523e-02	-3.633596e+00	2.172741e+00
8.187180725989524e-02	-3.633446e+00	2.307775e+00
8.206711975989524e-02	-3.633294e+00	2.408098e+00
8.226243225989524e-02	-3.633143e+00	2.472200e+00
8.245774475989524e-02	-3.632993e+00	2.499119e+00
8.263429139127736e-02	-3.632856e+00	2.491106e+00
8.282960389127736e-02	-3.632705e+00	2.446580e+00
8.302491639127736e-02	-3.632554e+00	2.365256e+00
8.322022889127736e-02	-3.632403e+00	2.248356e+00
8.341554139127737e-02	-3.632252e+00	2.097639e+00
8.361085389127737e-02	-3.632101e+00	1.915371e+00
8.380616639127737e-02	-3.631950e+00	1.704294e+00
8.400147889127738e-02	-3.631799e+00	1.467583e+00
8.419679139127738e-02	-3.631649e+00	1.208798e+00
8.439210389127738e-02	-3.631498e+00	9.318322e-01
8.458741639127738e-02	-3.631347e+00	6.408504e-01
8.478272889127739e-02	-3.631196e+00	3.402296e-01
8.497804139127739e-02	-3.631045e+00	3.449141e-02
8.517335389127739e-02	-3.630894e+00	-2.717656e-01
8.536866639127740e-02	-3.630743e+00	-5.739349e-01
8.556397889127740e-02	-3.630592e+00	-8.674717e-01
8.575929139127740e-02	-3.630441e+00	-1.147961e+00
8.595460389127740e-02	-3.630291e+00	-1.411184e+00
8.614991639127741e-02	-3.630140e+00	-1.653181e+00
8.634522889127741e-02	-3.629989e+00	-1.870313e+00
8.654054139127741e-02	-3.629838e+00	-2.059314e+00
8.673585389127741e-02	-3.629687e+00	-2.217340e+00
8.693116639127742e-02	-3.629560e+00	-2.342016e+00
8.712647889127742e-02	-3.630148e+00	-2.431466e+00
8.732179139127742e-02	-3.634599e+00	-2.484344e+00
8.751710389127743e-02	-3.642235e+00	-2.499856e+00
8.767785037625722e-02	-3.646578e+00	-2.484407e+00
8.787316287625722e-02	-3.648130e+00	-2.431597e+00
8.806847537625723e-02	-3.648159e+00	-2.342213e+00
8.826378787625723e-02	-3.648013e+00	-2.217600e+00
8.845910037625723e-02	-3.647861e+00	-2.059633e+00
8.865441287625724e-02	-3.647710e+00	-1.870686e+00
8.884972537625724e-02	-3.647558e+00	-1.653603e+00
8.904503787625724e-02	-3.647406e+00	-1.411648e+00
8.924035037625724e-02	-3.647255e+00	-1.148461e+00
8.943566287625725e-02	-3.647103e+00	-8.679994e-01
8.963097537625725e-02	-3.646952e+00	-5.744826e-01
8.982628787625725e-02	-3.646800e+00	-2.723249e-01
9.002160037625725e-02	-3.646649e+00	3.392875e-02
9.021691287625726e-02	-3.646497e+00	3.396721e-01
9.041222537625726e-02	-3.646346e+00	6.403065e-01
9.060753787625726e-02	-3.646194e+00	9.313100e-01
9.080285037625727e-02	-3.646042e+00	1.208306e+00
9.099816287625727e-02	-3.645891e+00	1.467128e+00
9.119347537625727e-02	-3.645740e+00	1.703882e+00
9.138878787625727e-02	-3.645588e+00	1.915009e+00
9.158410037625728e-02	-3.645437e+00	2.097332e+00
9.177941287625728e-02	-3.645285e+00	2.248110e+00
9.197472537625728e-02	-3.645133e+00	2.365074e+00
9.217003787625729e-02	-3.644982e+00	2.446465e+00
9.236535037625729e-02	-3.644830e+00	2.491058e+00
9.256066287625729e-02	-3.644679e+00	2.498184e+00
9.274876925714932e-02	-3.644533e+00	2.469522e+00
9.294408175714933e-02	-3.644382e+00	2.403311e+00
9.313939425714933e-02	-3.644230e+00	2.300952e+00
9.333470675714933e-02	-3.644079e+00	2.163984e+00
9.353001925714934e-02	-3.643928e+00	1.994468e+00
9.372533175714934e-02	-3.643776e+00	1.794953e+00
9.392064425714934e-02	-3.643625e+00	1.568440e+00
9.411595675714934e-02	-3.643473e+00	1.318337e+00
