time	V(vds)	V(vgs)	V(vo)	Id(M1)
9.292522461685497e-04	1.154273e+01	-2.139592e-03	6.294780e-04	9.683613e-04
9.341350586685497e-04	1.154268e+01	-2.000782e-03	5.885455e-04	9.683769e-04
9.390178711685497e-04	1.154264e+01	-1.860094e-03	5.472386e-04	9.683926e-04
9.439006836685497e-04	1.154260e+01	-1.717654e-03	5.052403e-04	9.684085e-04
9.487834961685497e-04	1.154256e+01	-1.573602e-03	4.629459e-04	9.684246e-04
9.536663086685497e-04	1.154252e+01	-1.428068e-03	4.200397e-04	9.684409e-04
9.585491211685497e-04	1.154247e+01	-1.281194e-03	3.769174e-04	9.684573e-04
9.634319336685498e-04	1.154243e+01	-1.133113e-03	3.332640e-04	9.684739e-04
9.683147461685498e-04	1.154239e+01	-9.839699e-04	2.894767e-04	9.684906e-04
9.731975586685498e-04	1.154234e+01	-8.338991e-04	2.452403e-04	9.685074e-04
9.780803711685498e-04	1.154230e+01	-6.830486e-04	2.009528e-04	9.685242e-04
9.829631836685497e-04	1.154225e+01	-5.315532e-04	1.562997e-04	9.685411e-04
9.878459961685496e-04	1.154221e+01	-3.795628e-04	1.116790e-04	9.685581e-04
9.927288086685495e-04	1.154216e+01	-2.272130e-04	6.677697e-05	9.685752e-04
9.976116211685494e-04	1.154212e+01	-7.465462e-05	2.199149e-05	9.685922e-04
1.002494433668549e-03	1.154207e+01	7.797611e-05	-2.299100e-05	9.686093e-04
1.007377246168549e-03	1.154203e+01	2.305282e-04	-6.777229e-05	9.686264e-04
1.012260058668549e-03	1.154198e+01	3.828654e-04	-1.126662e-04	9.686434e-04
1.017142871168549e-03	1.154194e+01	5.348371e-04	-1.572746e-04	9.686603e-04
1.022025683668549e-03	1.154189e+01	6.863074e-04	-2.019113e-04	9.686773e-04
1.026908496168549e-03	1.154185e+01	8.371266e-04	-2.461785e-04	9.686942e-04
1.031791308668549e-03	1.154181e+01	9.871600e-04	-2.903904e-04	9.687109e-04
1.036674121168549e-03	1.154176e+01	1.136259e-03	-3.341494e-04	9.687276e-04
