time	V(vds)	V(vgs)	V(vo)	Id(M1)
5.874546875747914e-04	1.405466e+01	-2.601391e-03	2.683187e-04	1.117393e-03
5.923375000747914e-04	1.405468e+01	-2.730285e-03	2.815454e-04	1.117376e-03
5.972203125747914e-04	1.405469e+01	-2.856612e-03	2.945291e-04	1.117359e-03
6.021031250747914e-04	1.405470e+01	-2.980251e-03	3.072149e-04	1.117343e-03
6.069859375747914e-04	1.405471e+01	-3.101088e-03	3.196336e-04	1.117327e-03
6.118687500747915e-04	1.405473e+01	-3.219007e-03	3.317309e-04	1.117312e-03
6.167515625747915e-04	1.405474e+01	-3.333899e-03	3.435379e-04	1.117297e-03
6.216343750747915e-04	1.405475e+01	-3.445653e-03	3.550010e-04	1.117282e-03
6.265171875747915e-04	1.405476e+01	-3.554167e-03	3.661519e-04	1.117268e-03
6.314000000747915e-04	1.405477e+01	-3.659337e-03	3.769376e-04	1.117254e-03
6.362828125747915e-04	1.405478e+01	-3.761065e-03	3.873905e-04	1.117240e-03
6.411656250747915e-04	1.405479e+01	-3.859254e-03	3.974582e-04	1.117227e-03
6.460484375747915e-04	1.405480e+01	-3.953814e-03	4.071737e-04	1.117215e-03
6.509312500747915e-04	1.405481e+01	-4.044652e-03	4.164854e-04	1.117203e-03
6.558140625747915e-04	1.405482e+01	-4.131687e-03	4.254271e-04	1.117192e-03
6.606968750747915e-04	1.405483e+01	-4.214833e-03	4.339477e-04	1.117181e-03
6.655796875747915e-04	1.405484e+01	-4.294016e-03	4.420819e-04	1.117170e-03
6.704625000747915e-04	1.405484e+01	-4.369157e-03	4.497794e-04	1.117160e-03
6.753453125747915e-04	1.405485e+01	-4.440190e-03	4.570755e-04	1.117151e-03
6.802281250747915e-04	1.405486e+01	-4.507043e-03	4.639207e-04	1.117142e-03
6.851109375747915e-04	1.405486e+01	-4.569658e-03	4.703513e-04	1.117134e-03
6.899937500747915e-04	1.405487e+01	-4.627972e-03	4.763186e-04	1.117126e-03
6.948765625747915e-04	1.405488e+01	-4.681933e-03	4.818595e-04	1.117119e-03
6.997593750747915e-04	1.405488e+01	-4.731488e-03	4.869262e-04	1.117113e-03
7.046421875747915e-04	1.405489e+01	-4.776593e-03	4.915566e-04	1.117107e-03
7.095250000747915e-04	1.405489e+01	-4.817202e-03	4.957038e-04	1.117101e-03
7.144078125747915e-04	1.405489e+01	-4.853281e-03	4.994062e-04	1.117097e-03
7.192906250747915e-04	1.405490e+01	-4.884792e-03	5.026181e-04	1.117093e-03
