time	V(vo)	V(Vgs)	Ig
2.737409375149567e-03	3.179225e-03	-4.961363e-03	8.303560e-04
2.756940625149566e-03	3.185427e-03	-4.971987e-03	8.303531e-04
2.776471875149566e-03	3.143830e-03	-4.907853e-03	8.303725e-04
2.796003125149566e-03	3.055056e-03	-4.769925e-03	8.304142e-04
2.815534375149565e-03	2.920438e-03	-4.560278e-03	8.304774e-04
2.835065625149565e-03	2.741994e-03	-4.282066e-03	8.305612e-04
2.854596875149564e-03	2.522399e-03	-3.939472e-03	8.306643e-04
2.874128125149564e-03	2.264949e-03	-3.537650e-03	8.307853e-04
2.893659375149564e-03	1.973505e-03	-3.082643e-03	8.309222e-04
2.913190625149563e-03	1.652443e-03	-2.581296e-03	8.310730e-04
2.932721875149563e-03	1.306581e-03	-2.041149e-03	8.312355e-04
2.962018750149562e-03	7.527361e-04	-1.176079e-03	8.314957e-04
2.991315625149561e-03	1.735443e-04	-2.713275e-04	8.317679e-04
2.999686160863847e-03	4.982453e-06	-8.004709e-06	8.318471e-04
3.008056696578133e-03	-1.624384e-04	2.535419e-04	8.319258e-04
3.016427232292418e-03	-3.287183e-04	5.133124e-04	8.320040e-04
3.024797768006703e-03	-4.938572e-04	7.713067e-04	8.320816e-04
3.033168303720989e-03	-6.578550e-04	1.027525e-03	8.321586e-04
3.041538839435275e-03	-8.207119e-04	1.281967e-03	8.322352e-04
3.049909375149560e-03	-9.824279e-04	1.534632e-03	8.323112e-04
3.079206250149560e-03	-1.520133e-03	2.374819e-03	8.325638e-04
3.098737500149559e-03	-1.851060e-03	2.891983e-03	8.327194e-04
3.118268750149559e-03	-2.154085e-03	3.365625e-03	8.328619e-04
3.137800000149558e-03	-2.424640e-03	3.788619e-03	8.329891e-04
3.157331250149558e-03	-2.658647e-03	4.154603e-03	8.330991e-04
3.176862500149558e-03	-2.852576e-03	4.458074e-03	8.331902e-04
3.196393750149557e-03	-3.003503e-03	4.694466e-03	8.332612e-04
3.215925000149557e-03	-3.109151e-03	4.860224e-03	8.333109e-04
3.235456250149556e-03	-3.167925e-03	4.952854e-03	8.333386e-04
3.254987500149556e-03	-3.178939e-03	4.970965e-03	8.333438e-04
3.274518750149555e-03	-3.142027e-03	4.914281e-03	8.333265e-04
3.294050000149555e-03	-3.057746e-03	4.783658e-03	8.332870e-04
3.313581250149555e-03	-2.927367e-03	4.581059e-03	8.332258e-04
3.333112500149554e-03	-2.752858e-03	4.309531e-03	8.331439e-04
3.352643750149554e-03	-2.536850e-03	3.973159e-03	8.330424e-04
3.372175000149553e-03	-2.282602e-03	3.577002e-03	8.329230e-04
3.391706250149553e-03	-1.993947e-03	3.127019e-03	8.327874e-04
3.411237500149553e-03	-1.675237e-03	2.629977e-03	8.326377e-04
