time	V(n002)	V(n004)	Id(M1)
8.657750000747917e-04	9.311018e-04	-3.716390e-03	8.291187e-04
8.706578125747917e-04	9.051143e-04	-3.613121e-03	8.291306e-04
8.755406250747917e-04	8.784817e-04	-3.506459e-03	8.291428e-04
8.804234375747917e-04	8.508183e-04	-3.396493e-03	8.291554e-04
8.853062500747917e-04	8.225610e-04	-3.283336e-03	8.291684e-04
8.901890625747917e-04	7.933252e-04	-3.167087e-03	8.291817e-04
8.950718750747917e-04	7.635496e-04	-3.047862e-03	8.291953e-04
8.999546875747917e-04	7.328514e-04	-2.925766e-03	8.292093e-04
9.048375000747917e-04	7.016705e-04	-2.800923e-03	8.292236e-04
9.097203125747917e-04	6.696246e-04	-2.673441e-03	8.292383e-04
9.146031250747917e-04	6.371557e-04	-2.543448e-03	8.292531e-04
9.194859375747917e-04	6.038828e-04	-2.411059e-03	8.292683e-04
9.243687500747917e-04	5.702485e-04	-2.276407e-03	8.292837e-04
9.292515625747917e-04	5.358732e-04	-2.139609e-03	8.292994e-04
9.341343750747917e-04	5.012006e-04	-2.000804e-03	8.293152e-04
9.390171875747917e-04	4.658521e-04	-1.860112e-03	8.293314e-04
9.439000000747917e-04	4.302719e-04	-1.717676e-03	8.293476e-04
9.487828125747918e-04	3.940827e-04	-1.573621e-03	8.293642e-04
9.536656250747918e-04	3.577294e-04	-1.428090e-03	8.293808e-04
9.585484375747918e-04	3.208354e-04	-1.281213e-03	8.293977e-04
9.634312500747918e-04	2.838463e-04	-1.133135e-03	8.294146e-04
9.683140625747918e-04	2.463858e-04	-9.839889e-04	8.294317e-04
9.731968750747918e-04	2.089003e-04	-8.339222e-04	8.294489e-04
9.780796875747918e-04	1.710141e-04	-6.830678e-04	8.294662e-04
9.829625000747917e-04	1.331737e-04	-5.315765e-04	8.294834e-04
9.878453125747916e-04	9.500398e-05	-3.795821e-04	8.295009e-04
9.927281250747915e-04	5.695166e-05	-2.272364e-04	8.295183e-04
9.976109375747914e-04	1.864146e-05	-7.467396e-05	8.295358e-04
1.002493750074791e-03	-1.947928e-05	7.795272e-05	8.295532e-04
1.007376562574791e-03	-5.778578e-05	2.305089e-04	8.295708e-04
1.012259375074791e-03	-9.583110e-05	3.828421e-04	8.295882e-04
1.017142187574791e-03	-1.339904e-04	5.348179e-04	8.296056e-04
1.022025000074791e-03	-1.718167e-04	6.862843e-04	8.296229e-04
1.026907812574791e-03	-2.096854e-04	8.371076e-04	8.296402e-04
1.031790625074791e-03	-2.471498e-04	9.871371e-04	8.296573e-04
1.036673437574791e-03	-2.845859e-04	1.136240e-03	8.296744e-04
1.041556250074790e-03	-3.215472e-04	1.284268e-03	8.296914e-04
1.046439062574790e-03	-3.584101e-04	1.431090e-03	8.297082e-04
1.051321875074790e-03	-3.947287e-04	1.576559e-03	8.297248e-04
1.056204687574790e-03	-4.308801e-04	1.720548e-03	8.297413e-04
1.061087500074790e-03	-4.664189e-04	1.862910e-03	8.297575e-04
1.065970312574790e-03	-5.017230e-04	2.003523e-03	8.297737e-04
1.070853125074790e-03	-5.363480e-04	2.142244e-03	8.297896e-04
1.075735937574790e-03	-5.706723e-04	2.278951e-03	8.298052e-04
1.080618750074790e-03	-6.042527e-04	2.413508e-03	8.298206e-04
1.085501562574789e-03	-6.374686e-04	2.545796e-03	8.298358e-04
1.090384375074789e-03	-6.698776e-04	2.675681e-03	8.298506e-04
1.095267187574789e-03	-7.018603e-04	2.803052e-03	8.298652e-04
1.100150000074789e-03	-7.329756e-04	2.927778e-03	8.298794e-04
1.105032812574789e-03	-7.636052e-04	3.049752e-03	8.298935e-04
1.109915625074789e-03	-7.933092e-04	3.168849e-03	8.299070e-04
1.114798437574789e-03	-8.224709e-04	3.284967e-03	8.299203e-04
1.119681250074789e-03	-8.506515e-04	3.397987e-03	8.299333e-04
1.124564062574789e-03	-8.782357e-04	3.507812e-03	8.299458e-04
1.129446875074789e-03	-9.047864e-04	3.614330e-03	8.299580e-04
1.134329687574788e-03	-9.306899e-04	3.717448e-03	8.299698e-04
1.139212500074788e-03	-9.555104e-04	3.817062e-03	8.299812e-04
1.144095312574788e-03	-9.796360e-04	3.913086e-03	8.299922e-04
1.148978125074788e-03	-1.002633e-03	4.005422e-03	8.300028e-04
1.153860937574788e-03	-1.024890e-03	4.093990e-03	8.300129e-04
1.158743750074788e-03	-1.045975e-03	4.178700e-03	8.300226e-04
1.163626562574788e-03	-1.066281e-03	4.259479e-03	8.300319e-04
1.168509375074788e-03	-1.085376e-03	4.336243e-03	8.300406e-04
1.173392187574788e-03	-1.103654e-03	4.408929e-03	8.300489e-04
1.178275000074788e-03	-1.120686e-03	4.477460e-03	8.300567e-04
1.183157812574787e-03	-1.136867e-03	4.541780e-03	8.300641e-04
1.188040625074787e-03	-1.151772e-03	4.601819e-03	8.300709e-04
1.192923437574787e-03	-1.165797e-03	4.657530e-03	8.300774e-04
1.197806250074787e-03	-1.178518e-03	4.708851e-03	8.300832e-04
1.202689062574787e-03	-1.190334e-03	4.755743e-03	8.300886e-04
1.207571875074787e-03	-1.200822e-03	4.798153e-03	8.300934e-04
1.212454687574787e-03	-1.210385e-03	4.836051e-03	8.300978e-04
1.217337500074787e-03	-1.218602e-03	4.869391e-03	8.301015e-04
1.222220312574787e-03	-1.225876e-03	4.898150e-03	8.301049e-04
1.227103125074786e-03	-1.231789e-03	4.922294e-03	8.301075e-04
1.231985937574786e-03	-1.236747e-03	4.941808e-03	8.301098e-04
1.236868750074786e-03	-1.240335e-03	4.956665e-03	8.301115e-04
1.241751562574786e-03	-1.242959e-03	4.966860e-03	8.301127e-04
1.246634375074786e-03	-1.244207e-03	4.972374e-03	8.301132e-04
1.251517187574786e-03	-1.244488e-03	4.973211e-03	8.301134e-04
1.256400000074786e-03	-1.243390e-03	4.969362e-03	8.301129e-04
1.261282812574786e-03	-1.241327e-03	4.960838e-03	8.301120e-04
1.266165625074786e-03	-1.237888e-03	4.947640e-03	8.301104e-04
